item1,item2,n,correlation
monde,NA,219,0.20570308584161662
délice,NA,219,0.2839736465483966
facile,petit,219,0.2520471394983975
NA,monde,219,0.20570308584161662
petit,facile,219,0.2520471394983975
NA,délice,219,0.2839736465483966
simple,faire,218,0.31690251602873665
faire,simple,218,0.31690251602873665
pâte,mettre,218,0.28642764179308744
mettre,pâte,218,0.28642764179308744
recette,utiliser,217,0.33654810072638974
pâte,faire,217,0.35505058879412243
beurre,NA,217,0.23007272508888438
utiliser,recette,217,0.33654810072638974
adorer,exceller,217,0.35228558000011917
ajouter,facile,217,0.28136463821284496
facile,ajouter,217,0.28136463821284496
exceller,adorer,217,0.35228558000011917
faire,pâte,217,0.35505058879412243
NA,beurre,217,0.23007272508888438
ajouter,exceller,216,0.24822716477910697
exceller,ajouter,216,0.24822716477910697
vrai,NA,215,0.3362402927885958
ajouter,goût,215,0.308881436349611
goût,ajouter,215,0.308881436349611
NA,vrai,215,0.3362402927885958
goût,petit,214,0.2635316619631713
gâteau,recette,214,0.22504356133383294
adorer,facile,214,0.3387474332881608
parfaire,sucre,214,0.22974131526604416
petit,goût,214,0.2635316619631713
recette,gâteau,214,0.22504356133383294
facile,adorer,214,0.3387474332881608
sucre,parfaire,214,0.22974131526604416
ajouter,super,213,0.22069345568391016
adorer,super,213,0.336105446803084
super,ajouter,213,0.22069345568391016
super,adorer,213,0.336105446803084
cuisson,délicieux,211,0.2987926041690245
cuisson,bon,211,0.22726321305088537
aimer,recette,211,0.24063076622504062
excellent,mettre,211,0.30843253020629013
mettre,excellent,211,0.30843253020629013
délicieux,cuisson,211,0.2987926041690245
bon,cuisson,211,0.22726321305088537
recette,aimer,211,0.24063076622504062
cuire,recette,210,0.24796252203605937
cuisson,sucre,210,0.33144399076349024
sucre,cuisson,210,0.33144399076349024
recette,cuire,210,0.24796252203605937
NA,utiliser,209,0.34269394028580136
utiliser,NA,209,0.34269394028580136
parfaire,refaire,209,0.24389911325349384
régal,recette,209,0.33830796506959937
recette,régal,209,0.33830796506959937
refaire,parfaire,209,0.24389911325349384
trouver,recette,208,0.31090059106305934
recette,trouver,208,0.31090059106305934
falloir,NA,207,0.2496073737551255
NA,falloir,207,0.2496073737551255
prochain,recette,206,0.304460044143406
recette,prochain,206,0.304460044143406
monde,faire,205,0.3762857939236866
faire,monde,205,0.3762857939236866
sucrer,recette,205,0.22395934724169886
crème,recette,205,0.1994601330967034
